ts,open,high,low,close,volume,turnover
1742050800000,0.9998,0.9998,0.9996,0.9997,112290.2,112257.82195
1742054400000,0.9997,0.9997,0.9996,0.9997,118329.6,118287.957395
1742058000000,0.9997,0.9997,0.9996,0.9996,15905.59,15900.19802
1742061600000,0.9996,0.9997,0.9996,0.9996,72082.18,72059.395249
1742065200000,0.9996,0.9997,0.9996,0.9996,26682.06,26673.112466
1742068800000,0.9996,0.9997,0.9996,0.9996,46073.55,46059.404784
1742072400000,0.9996,0.9998,0.9996,0.9997,102216.85,102191.88711
1742076000000,0.9997,0.9998,0.9997,0.9998,49281.1,49270.078735
1742079600000,0.9998,0.9999,0.9997,0.9998,394539.76,394470.813368
1742083200000,0.9998,0.9998,0.9997,0.9998,22477.59,22472.983972
1742086800000,0.9998,0.9998,0.9997,0.9998,66338.15,66318.974997
1742090400000,0.9998,0.9998,0.9996,0.9996,91519.04,91489.37917
1742094000000,0.9996,0.9997,0.9996,0.9997,67957.54,67935.959324
1742097600000,0.9997,0.9997,0.9996,0.9996,263292.61,263192.500244
1742101200000,0.9996,0.9997,0.9996,0.9997,58521.67,58502.159754
1742104800000,0.9997,0.9998,0.9996,0.9998,144963.63,144920.773374
1742108400000,0.9998,0.9998,0.9997,0.9997,27233.32,27225.912644
1742112000000,0.9997,0.9998,0.9997,0.9997,19488.19,19482.992189
1742115600000,0.9997,0.9998,0.9996,0.9997,599699.14,599518.561541
1742119200000,0.9997,0.9999,0.9997,0.9998,142982.56,142958.206945
1742122800000,0.9998,0.9999,0.9997,0.9998,501752.38,501632.090902
1742126400000,0.9998,0.9998,0.9997,0.9998,129569.9,129535.499426
1742130000000,0.9998,0.9998,0.9997,0.9997,135893.34,135858.760584
1742133600000,0.9997,0.9999,0.9997,0.9998,231153.22,231101.246031
1742137200000,0.9998,0.9999,0.9998,0.9998,153645.14,153616.26344
1742140800000,0.9998,0.9998,0.9997,0.9998,310371.44,310303.656026
1742144400000,0.9998,0.9998,0.9997,0.9998,55872.13,55859.090628
1742148000000,0.9998,0.9998,0.9997,0.9997,152550.96,152506.85411
1742151600000,0.9997,0.9998,0.9997,0.9998,182759.02,182710.840161
1742155200000,0.9998,0.9998,0.9997,0.9998,45812.88,45802.426685
1742158800000,0.9998,0.9998,0.9997,0.9997,33350.76,33342.017643
1742162400000,0.9997,0.9998,0.9997,0.9997,35114.32,35104.045642
1742166000000,0.9997,0.9998,0.9997,0.9998,64696.1,64677.583306
1742169600000,0.9998,0.9998,0.9997,0.9997,57190.42,57177.158099
1742173200000,0.9997,0.9998,0.9997,0.9997,108566.02,108540.923255
1742176800000,0.9997,0.9998,0.9997,0.9997,227986.74,227931.649452
1742180400000,0.9997,0.9998,0.9997,0.9998,166411.4,166370.814563
1742184000000,0.9998,0.9998,0.9997,0.9997,2059130.49,2058696.745714
1742187600000,0.9997,0.9998,0.9996,0.9996,514289.03,514136.489136
1742191200000,0.9996,0.9998,0.9996,0.9997,272237.97,272154.847704
1742194800000,0.9997,0.9998,0.9996,0.9997,258322.86,258246.446207
1742198400000,0.9997,0.9998,0.9996,0.9996,280809.8,280723.292707
1742202000000,0.9996,0.9998,0.9996,0.9998,293716.02,293633.414129
1742205600000,0.9998,0.9999,0.9997,0.9997,509289.09,509162.449026
1742209200000,0.9997,0.9998,0.9997,0.9997,907590.85,907380.964199
1742212800000,0.9997,0.9999,0.9997,0.9998,1537482.48,1537060.736825
1742216400000,0.9998,0.9999,0.9997,0.9998,1406329.69,1405977.443958
1742220000000,0.9998,0.9999,0.9997,0.9998,516502.97,516382.298452
1742223600000,0.9998,0.9999,0.9997,0.9997,362081.23,362001.285804
1742227200000,0.9997,0.9998,0.9997,0.9998,512560.59,512429.738408
1742230800000,0.9998,0.9999,0.9997,0.9998,143134.56,143115.679304
1742234400000,0.9998,0.9999,0.9998,0.9999,99421.56,99409.037252
1742238000000,0.9999,0.9999,0.9997,0.9998,195958.08,195908.898431
1742241600000,0.9998,0.9999,0.9998,0.9998,45757.03,45749.806257
1742245200000,0.9998,0.9999,0.9998,0.9998,42714.44,42707.955111
1742248800000,0.9998,0.9999,0.9998,0.9998,86624.77,86611.159662
1742252400000,0.9998,1,0.9998,1,986418.14,986390.397436
1742256000000,1,1,0.9998,0.9999,141073.04,141062.410293
1742259600000,0.9999,0.9999,0.9998,0.9998,161079.36,161053.321329
1742263200000,0.9998,1,0.9998,0.9999,881696.65,881676.110083
1742266800000,0.9999,1,0.9999,0.9999,113721.24,113714.152745
1742270400000,0.9999,1,0.9998,1,386326.17,386295.459354
1742274000000,1,1,0.9998,0.9999,1550957.55,1550899.937377
1742277600000,0.9999,1,0.9998,0.9998,331970.19,331929.598716
1742281200000,0.9998,1,0.9998,0.9999,476326.76,476280.632854
1742284800000,0.9999,0.9999,0.9998,0.9998,446894.9,446832.601183
1742288400000,0.9998,0.9999,0.9998,0.9998,264841.67,264796.70199
1742292000000,0.9998,0.9999,0.9998,0.9998,304293.94,304242.759182
1742295600000,0.9998,0.9999,0.9998,0.9998,93826.42,93812.34605
1742299200000,0.9998,0.9999,0.9998,0.9998,282378.6,282330.486928
1742302800000,0.9998,0.9999,0.9998,0.9999,715749.39,715615.243767
1742306400000,0.9999,0.9999,0.9998,0.9998,901694.37,901533.829696
1742310000000,0.9998,0.9999,0.9998,0.9998,155852.01,155832.625267
1742313600000,0.9998,0.9999,0.9998,0.9998,13198.52,13196.072255
1742317200000,0.9998,0.9999,0.9997,0.9998,1235122.38,1234875.446586
1742320800000,0.9998,0.9999,0.9997,0.9998,264376.33,264339.601311
1742324400000,0.9998,1,0.9998,0.9998,272757.86,272730.147158
1742328000000,0.9998,1,0.9998,0.9999,101813.38,101802.825206
1742331600000,0.9999,1,0.9998,0.9999,311874.95,311861.48224
1742335200000,0.9999,0.9999,0.9998,0.9998,27915.3,27912.228701
1742338800000,0.9998,1,0.9998,0.9999,402473.75,402467.176607
1742342400000,0.9999,1,0.9997,0.9998,289686.97,289631.724072
1742346000000,0.9998,0.9998,0.9997,0.9997,397013.39,396895.650405
1742349600000,0.9997,0.9999,0.9997,0.9999,53186.6,53175.939915
1742353200000,0.9999,0.9999,0.9997,0.9997,240091.75,240043.444523
1742356800000,0.9997,0.9998,0.9997,0.9997,56336.34,56320.823194
1742360400000,0.9997,1,0.9997,1,634804.01,634650.399839
1742364000000,1,1,0.9997,0.9999,545158.02,545106.827098
1742367600000,0.9999,0.9999,0.9997,0.9997,475435.6,475334.295157
1742371200000,0.9997,0.9998,0.9997,0.9997,486228.43,486119.378334
1742374800000,0.9997,0.9999,0.9997,0.9997,130747.61,130715.933828
1742378400000,0.9997,1,0.9997,0.9998,344423.11,344385.046745
1742382000000,0.9998,0.9999,0.9998,0.9999,1115370.91,1115171.133386
1742385600000,0.9999,1,0.9998,0.9998,534536.34,534476.832295
1742389200000,0.9998,1,0.9997,0.9998,394032.24,393969.017042
1742392800000,0.9998,0.9999,0.9997,0.9998,342739.78,342672.971682
1742396400000,0.9998,1,0.9997,0.9999,486266.49,486207.324886
1742400000000,0.9999,0.9999,0.9998,0.9998,68973.93,68966.072353
1742403600000,0.9998,1,0.9998,1,233634.13,233607.733709
1742407200000,1,1,0.9998,0.9999,290417.79,290377.389582
1742410800000,0.9999,0.9999,0.9998,0.9998,167451.03,167420.575349
1742414400000,0.9998,0.9999,0.9997,0.9999,852532.25,852364.370404
1742418000000,0.9999,0.9999,0.9998,0.9998,219450.89,219428.152885
1742421600000,0.9998,1,0.9998,0.9999,672807.06,672772.01304
1742425200000,0.9999,1,0.9999,1,520934.82,520924.511131
1742428800000,1,1,0.9998,0.9999,428931,428900.882633
