ts,open,high,low,close,volume,turnover
1741946400000,1.0001,1.0001,1,1,3449.11,3449.288388
1741950000000,1,1.0001,1,1.0001,13881.23,13882.329303
1741953600000,1.0001,1.0002,1,1,66733.64,66742.421643
1741957200000,1,1.0001,1,1.0001,100.89,100.8901
1741960800000,1.0001,1.0001,1,1.0001,25.53,25.530268
1741964400000,1.0001,1.0001,1,1,10173.69,10173.690625
1741968000000,1,1.0001,1,1.0001,1500.03,1500.134019
1741971600000,1.0001,1.0001,1,1.0001,57.98,57.985299
1741975200000,1.0001,1.0001,1,1.0001,40.51,40.513577
1741978800000,1.0001,1.0001,1.0001,1.0001,1.5,1.50015
1741982400000,1.0001,1.0001,1.0001,1.0001,20020.28,20022.282028
1741986000000,1.0001,1.0001,1.0001,1.0001,7001.31,7002.010131
1741989600000,1.0001,1.0001,1,1,9.47,9.470116
1741993200000,1,1.0001,1,1,46.05,46.050604
1741996800000,1,1.0001,1,1,2602.64,2602.770185
1742000400000,1,1,1,1,1.35,1.35
1742004000000,1,1,1,1,0,0
1742007600000,1,1,1,1,0,0
1742011200000,1,1,1,1,48.56,48.56
1742014800000,1,1.0001,1,1.0001,4481.35,4481.787854
1742018400000,1.0001,1.0001,1.0001,1.0001,19.61,19.611961
1742022000000,1.0001,1.0002,1.0001,1.0001,6.34,6.34105
1742025600000,1.0001,1.0002,1.0001,1.0002,10106.8,10108.32086
1742029200000,1.0002,1.0002,1.0002,1.0002,20.02,20.024004
1742032800000,1.0002,1.0002,1.0002,1.0002,327.34,327.405468
1742036400000,1.0002,1.0002,1,1,4388.68,4389.044611
1742040000000,1,1.0001,1,1.0001,1994.94,1995.040165
1742043600000,1.0001,1.0001,1,1,550.5,550.526003
1742047200000,1,1,1,1,24.81,24.81
1742050800000,1,1.0001,1,1.0001,5.29,5.290399
1742054400000,1.0001,1.0001,1.0001,1.0001,4.2,4.20042
1742058000000,1.0001,1.0001,1.0001,1.0001,13.79,13.791379
1742061600000,1.0001,1.0001,1,1,1060.88,1060.98405
1742065200000,1,1.0001,1,1.0001,14.37,14.370597
1742068800000,1.0001,1.0001,1.0001,1.0001,0,0
1742072400000,1.0001,1.0001,1.0001,1.0001,1.99,1.990199
1742076000000,1.0001,1.0001,1,1,713.96,713.96
1742079600000,1,1.0001,1,1,6859.78,6860.122787
1742083200000,1,1.0001,1,1.0001,521.52,521.546574
1742086800000,1.0001,1.0001,1.0001,1.0001,13.99,13.991399
1742090400000,1.0001,1.0001,1.0001,1.0001,9.51,9.510951
1742094000000,1.0001,1.0001,1.0001,1.0001,1.65,1.650165
1742097600000,1.0001,1.0001,1.0001,1.0001,12.2,12.20122
1742101200000,1.0001,1.0001,1,1,13.21,13.210471
1742104800000,1,1.0001,1,1.0001,3.17,3.170317
1742108400000,1.0001,1.0001,1.0001,1.0001,0,0
1742112000000,1.0001,1.0001,1.0001,1.0001,22.15,22.152215
1742115600000,1.0001,1.0001,1.0001,1.0001,0,0
1742119200000,1.0001,1.0001,1,1,2078.22,2078.426
1742122800000,1,1.0001,1,1,1047.23,1047.230999
1742126400000,1,1.0001,1,1,12998.04,12999.214882
1742130000000,1,1.0001,1,1.0001,3030.74,3030.892176
1742133600000,1.0001,1.0001,1,1.0001,580.24,580.294206
1742137200000,1.0001,1.0001,1.0001,1.0001,6.54,6.540654
1742140800000,1.0001,1.0002,1,1.0001,5036.28,5036.758638
1742144400000,1.0001,1.0001,1,1,145.29,145.29
1742148000000,1,1,1,1,0,0
1742151600000,1,1,1,1,0,0
1742155200000,1,1.0001,1,1.0001,258.97,258.983205
1742158800000,1.0001,1.0001,1,1.0001,682.49,682.500516
1742162400000,1.0001,1.0001,1.0001,1.0001,1700,1700.17
1742166000000,1.0001,1.0001,1,1,518.96,518.985704
1742169600000,1,1.0001,1,1,7354.25,7354.616642
1742173200000,1,1.0001,1,1,528.09,528.091168
1742176800000,1,1.0001,1,1,63.97,63.970499
1742180400000,1,1.0001,1,1,125.43,125.431893
1742184000000,1,1.0001,1,1,5918.99,5919.532575
1742187600000,1,1.0001,1,1,3412.43,3412.607873
1742191200000,1,1.0001,1,1,125.45,125.45195
1742194800000,1,1,1,1,362.02,362.02
1742198400000,1,1,1,1,96.8,96.8
1742202000000,1,1.0001,1,1,251.54,251.541156
1742205600000,1,1.0001,1,1,4218.41,4218.588082
1742209200000,1,1,1,1,56,56
1742212800000,1,1.0001,1,1,475.48,475.4982
1742216400000,1,1.0001,1,1.0001,519.02,519.021299
1742220000000,1.0001,1.0001,1,1,704.12,704.156931
1742223600000,1,1.0001,1,1,80.97,80.970199
