ts,open,high,low,close,volume,turnover
1764055800000,0.9993,0.9993,0.9993,0.9993,12.52,12.511236
1764056100000,0.9993,0.9994,0.9993,0.9993,5.93,5.926149
1764056400000,0.9993,0.9993,0.9993,0.9993,0,0
1764056700000,0.9993,0.9993,0.9993,0.9993,0,0
1764057000000,0.9993,0.9993,0.9993,0.9993,0,0
1764057300000,0.9993,0.9993,0.9993,0.9993,114.61,114.529773
1764057600000,0.9993,0.9993,0.9993,0.9993,0,0
1764057900000,0.9993,0.9993,0.9993,0.9993,416.89,416.598177
1764058200000,0.9993,0.9993,0.9993,0.9993,0,0
1764058500000,0.9993,0.9993,0.9993,0.9993,0,0
1764058800000,0.9993,0.9993,0.9993,0.9993,0,0
1764059100000,0.9993,0.9993,0.9993,0.9993,0,0
1764059400000,0.9993,0.9993,0.9993,0.9993,0,0
1764059700000,0.9993,0.9993,0.9993,0.9993,37.06,37.034058
1764060000000,0.9993,0.9993,0.9993,0.9993,0,0
1764060300000,0.9993,0.9993,0.9993,0.9993,296.82,296.612226
1764060600000,0.9993,0.9993,0.9993,0.9993,0,0
1764060900000,0.9993,0.9993,0.9993,0.9993,219.33,219.176469
1764061200000,0.9993,0.9993,0.9993,0.9993,15.04,15.029472
1764061500000,0.9993,0.9993,0.9993,0.9993,1474.48,1473.447864
1764061800000,0.9993,0.9993,0.9993,0.9993,826.26,825.681618
1764062100000,0.9993,0.9993,0.9993,0.9993,1010.3,1009.59279
1764062400000,0.9993,0.9993,0.9993,0.9993,103,102.9279
1764062700000,0.9993,0.9994,0.9993,0.9994,2594.88,2593.064788
1764063000000,0.9994,0.9994,0.9993,0.9993,6790.85,6786.096505
1764063300000,0.9993,0.9993,0.9993,0.9993,9.99,9.983007
1764063600000,0.9993,0.9993,0.9993,0.9993,151.76,151.653768
1764063900000,0.9993,0.9993,0.9993,0.9993,11.11,11.102223
1764064200000,0.9993,0.9993,0.9993,0.9993,0,0
1764064500000,0.9993,0.9993,0.9993,0.9993,3.91,3.907263
1764064800000,0.9993,0.9994,0.9993,0.9993,3687.8,3685.559589
1764065100000,0.9993,0.9994,0.9993,0.9993,3,2.998
1764065400000,0.9993,0.9993,0.9993,0.9993,168.73,168.611889
1764065700000,0.9993,0.9993,0.9993,0.9993,0,0
1764066000000,0.9993,0.9993,0.9993,0.9993,14.67,14.659731
1764066300000,0.9993,0.9993,0.9993,0.9993,310,309.783
1764066600000,0.9993,0.9993,0.9993,0.9993,10.41,10.402713
1764066900000,0.9993,0.9993,0.9993,0.9993,0,0
1764067200000,0.9993,0.9993,0.9993,0.9993,0,0
1764067500000,0.9993,0.9993,0.9993,0.9993,10.07,10.062951
1764067800000,0.9993,0.9993,0.9993,0.9993,0,0
1764068100000,0.9993,0.9993,0.9993,0.9993,61.03,60.987279
1764068400000,0.9993,0.9994,0.9993,0.9993,1415.15,1414.230188
1764068700000,0.9993,0.9994,0.9993,0.9993,5052.56,5049.052851
1764069000000,0.9993,0.9993,0.9993,0.9993,15.51,15.499143
1764069300000,0.9993,0.9993,0.9993,0.9993,0,0
1764069600000,0.9993,0.9993,0.9993,0.9993,0,0
1764069900000,0.9993,0.9993,0.9993,0.9993,12.42,12.411306
1764070200000,0.9993,0.9993,0.9993,0.9993,0,0
1764070500000,0.9993,0.9993,0.9993,0.9993,0,0
1764070800000,0.9993,0.9993,0.9993,0.9993,14.08,14.070144
1764071100000,0.9993,0.9994,0.9993,0.9994,22.01,21.996794
1764071400000,0.9994,0.9994,0.9994,0.9994,2.39,2.388566
1764071700000,0.9994,0.9994,0.9994,0.9994,0,0
1764072000000,0.9994,0.9994,0.9993,0.9993,8019.41,8014.544602
1764072300000,0.9993,0.9993,0.9993,0.9993,0,0
1764072600000,0.9993,0.9993,0.9993,0.9993,0,0
1764072900000,0.9993,0.9993,0.9993,0.9993,0,0
1764073200000,0.9993,0.9994,0.9993,0.9993,26.16,26.143204
1764073500000,0.9993,0.9993,0.9993,0.9993,1084.63,1083.870759
1764073800000,0.9993,0.9994,0.9993,0.9993,561.67,561.278026
1764074100000,0.9993,0.9993,0.9993,0.9993,486.94,486.599142
1764074400000,0.9993,0.9993,0.9993,0.9993,0,0
1764074700000,0.9993,0.9994,0.9993,0.9994,37.17,37.146201
1764075000000,0.9994,0.9994,0.9994,0.9994,0,0
1764075300000,0.9994,0.9994,0.9993,0.9993,479.66,479.324238
1764075600000,0.9993,0.9993,0.9993,0.9993,2035.3,2033.87529
1764075900000,0.9993,0.9993,0.9993,0.9993,12,11.9916
1764076200000,0.9993,0.9993,0.9993,0.9993,0,0
1764076500000,0.9993,0.9993,0.9993,0.9993,0,0
1764076800000,0.9993,0.9993,0.9993,0.9993,11.61,11.601873
1764077100000,0.9993,0.9993,0.9993,0.9993,0,0
1764077400000,0.9993,0.9993,0.9993,0.9993,3.27,3.267711
1764077700000,0.9993,0.9993,0.9993,0.9993,0,0
1764078000000,0.9993,0.9993,0.9993,0.9993,11.57,11.561901
1764078300000,0.9993,0.9993,0.9993,0.9993,1075.01,1074.257493
